sudokuID,name,numOfConstraints,result,totalTime,loop,backtrack,flip,unit
1,r0_c0_b0,0,SAT,0.186082124710083,480,0,0,249
1,r1_c0_b0,1,SAT,0.2225019931793213,452,0,0,277
1,r2_c0_b0,2,SAT,0.31712794303894043,438,0,0,291
1,r3_c0_b0,3,SAT,0.44947290420532227,413,0,1,329
1,r4_c0_b0,4,SAT,6.3781561851501465,6384,1488,2825,19115
1,r5_c0_b0,5,SAT,0.3964211940765381,363,0,0,366
1,r6_c0_b0,6,SAT,0.3867781162261963,331,0,0,398
1,r7_c0_b0,7,SAT,0.3913748264312744,295,0,0,434
1,r8_c0_b0,8,SAT,0.4985928535461426,277,0,0,452
1,r9_c0_b0,9,SAT,0.8484327793121338,258,0,0,471
1,r9_c1_b0,10,SAT,0.6627521514892578,231,0,0,498
1,r9_c2_b0,11,SAT,0.6710128784179688,202,0,0,527
1,r9_c3_b0,12,SAT,0.6423249244689941,182,0,0,547
1,r9_c4_b0,13,SAT,0.5662758350372314,143,0,0,586
1,r9_c5_b0,14,SAT,0.6802570819854736,144,0,1,600
1,r9_c6_b0,15,SAT,0.6152989864349365,103,0,0,626
1,r9_c7_b0,16,SAT,0.6578569412231445,96,0,1,707
1,r9_c8_b0,17,SAT,3.2713022232055664,207,44,69,5041
1,r9_c9_b0,18,SAT,0.7348780632019043,81,0,1,658
1,r9_c9_b1,19,SAT,0.9235119819641113,65,1,6,990
1,r9_c9_b2,20,SAT,1.609771966934204,78,16,23,1869
1,r9_c9_b3,21,SAT,0.7894809246063232,37,0,0,692
1,r9_c9_b4,22,SAT,2.152657985687256,71,18,24,1952
1,r9_c9_b5,23,SAT,12.643671035766602,584,208,290,13390
1,r9_c9_b6,24,SAT,5.906671047210693,160,57,78,4899
1,r9_c9_b7,25,SAT,1.2907958030700684,11,1,5,865
1,r9_c9_b8,26,SAT,1.298902988433838,5,0,2,767
1,r9_c9_b9,27,SAT,1.3815650939941406,2,0,0,727
2,r0_c0_b0,0,SAT,0.3523550033569336,480,0,0,249
2,r1_c0_b0,1,SAT,0.35149407386779785,462,0,0,267
2,r2_c0_b0,2,SAT,0.5605452060699463,434,0,0,295
2,r3_c0_b0,3,SAT,0.3406548500061035,406,0,0,323
2,r4_c0_b0,4,SAT,0.3726799488067627,389,0,0,340
2,r5_c0_b0,5,SAT,0.4230189323425293,357,0,0,372
2,r6_c0_b0,6,SAT,0.41634607315063477,331,0,0,398
2,r7_c0_b0,7,SAT,0.48070693016052246,306,0,0,423
2,r8_c0_b0,8,SAT,0.5379302501678467,276,0,0,453
2,r9_c0_b0,9,SAT,0.6277141571044922,269,0,0,460
2,r9_c1_b0,10,SAT,0.6464419364929199,221,0,0,508
2,r9_c2_b0,11,SAT,0.6695899963378906,211,0,0,518
2,r9_c3_b0,12,SAT,0.6698131561279297,170,0,0,559
2,r9_c4_b0,13,SAT,0.7805008888244629,170,0,2,612
2,r9_c5_b0,14,SAT,1.0908470153808594,147,0,1,594
2,r9_c6_b0,15,SAT,0.7355060577392578,103,0,0,626
2,r9_c7_b0,16,SAT,2.7640368938446045,182,31,39,3042
2,r9_c8_b0,17,SAT,8.663777112960815,429,123,174,10571
2,r9_c9_b0,18,SAT,1.5755608081817627,105,14,17,1616
2,r9_c9_b1,19,SAT,1.1658289432525635,37,0,0,692
2,r9_c9_b2,20,SAT,4.34446907043457,173,56,71,3623
2,r9_c9_b3,21,SAT,1.1650009155273438,19,0,0,710
2,r9_c9_b4,22,SAT,1.2098469734191895,16,0,0,713
2,r9_c9_b5,23,SAT,1.2532479763031006,5,0,0,724
2,r9_c9_b6,24,SAT,1.8317310810089111,0,0,0,729
2,r9_c9_b7,25,SAT,1.6752707958221436,0,0,0,729
2,r9_c9_b8,26,SAT,1.4702410697937012,0,0,0,729
2,r9_c9_b9,27,SAT,1.3003439903259277,0,0,0,729
3,r0_c0_b0,0,SAT,0.3675830364227295,472,0,0,257
3,r1_c0_b0,1,SAT,0.29491209983825684,450,0,0,279
3,r2_c0_b0,2,SAT,0.3867950439453125,425,0,0,304
