sudokuID,name,numOfConstraints,result,totalTime,loop,backtrack,flip,unit
1,r7_c9_b9,25,SAT,0.2667827606201172,15,0,1,725
1,r8_c8_b9,25,SAT,1.677851915359497,331,109,164,7051
1,r8_c9_b8,25,SAT,0.28379106521606445,5,0,1,769
1,r9_c7_b9,25,SAT,0.2625248432159424,9,0,0,720
1,r9_c8_b8,25,SAT,0.28543710708618164,1,0,0,728
1,r9_c9_b7,25,SAT,0.27553510665893555,3,0,1,784
2,r7_c9_b9,25,SAT,0.2651960849761963,10,0,0,719
2,r8_c8_b9,25,SAT,0.3399968147277832,18,5,7,1103
2,r8_c9_b8,25,SAT,0.27281999588012695,2,0,1,752
2,r9_c7_b9,25,SAT,0.26137208938598633,11,0,0,718
2,r9_c8_b8,25,SAT,0.43182992935180664,37,11,18,1598
2,r9_c9_b7,25,SAT,0.28135013580322266,0,0,0,729
3,r7_c9_b9,25,SAT,0.29349780082702637,8,0,0,721
3,r8_c8_b9,25,SAT,0.3690948486328125,29,5,8,1125
3,r8_c9_b8,25,SAT,0.32101869583129883,13,1,4,983
3,r9_c7_b9,25,SAT,0.2677497863769531,18,0,0,711
3,r9_c8_b8,25,SAT,0.48862791061401367,36,5,11,1462
3,r9_c9_b7,25,SAT,0.4106771945953369,12,0,2,827
4,r7_c9_b9,25,SAT,0.5752372741699219,12,0,1,725
4,r8_c8_b9,25,SAT,0.9492092132568359,1,0,0,728
4,r8_c9_b8,25,SAT,0.7400782108306885,0,0,0,729
4,r9_c7_b9,25,SAT,0.7967088222503662,10,0,1,725
4,r9_c8_b8,25,SAT,0.6742198467254639,1,0,0,728
4,r9_c9_b7,25,SAT,0.7418439388275146,0,0,0,729
5,r7_c9_b9,25,SAT,0.6849920749664307,24,0,0,705
5,r8_c8_b9,25,SAT,1.5510520935058594,153,48,72,3652
5,r8_c9_b8,25,SAT,12.000332593917847,1653,552,823,42288
5,r9_c7_b9,25,SAT,0.30734801292419434,18,0,0,711
5,r9_c8_b8,25,SAT,0.36358189582824707,23,6,8,1012
5,r9_c9_b7,25,SAT,4.424221992492676,589,187,289,15394
6,r7_c9_b9,25,SAT,0.3179142475128174,10,0,0,719
6,r8_c8_b9,25,SAT,0.41502904891967773,16,3,6,1034
6,r8_c9_b8,25,SAT,0.340101957321167,4,1,2,860
6,r9_c7_b9,25,SAT,0.2879350185394287,7,0,0,722
6,r9_c8_b8,25,SAT,0.5760350227355957,48,13,21,1765
6,r9_c9_b7,25,SAT,0.34009814262390137,4,1,2,877
7,r7_c9_b9,25,SAT,0.2892012596130371,17,0,0,712
7,r8_c8_b9,25,SAT,0.2900359630584717,0,0,0,729
7,r8_c9_b8,25,SAT,0.3036768436431885,0,0,0,729
7,r9_c7_b9,25,SAT,0.30420613288879395,17,0,0,712
7,r9_c8_b8,25,SAT,0.3204689025878906,4,0,0,725
7,r9_c9_b7,25,SAT,0.43467020988464355,3,0,0,726
8,r7_c9_b9,25,SAT,0.3635871410369873,7,0,0,722
8,r8_c8_b9,25,SAT,0.31974291801452637,0,0,0,729
8,r8_c9_b8,25,SAT,0.30936598777770996,0,0,0,729
8,r9_c7_b9,25,SAT,0.3729419708251953,17,0,1,745
8,r9_c8_b8,25,SAT,1.634984016418457,286,95,137,5727
8,r9_c9_b7,25,SAT,0.2911849021911621,0,0,0,729
9,r7_c9_b9,25,SAT,0.32007408142089844,14,0,0,715
