sudokuID,name,result,totalTime,loop,backtrack,flip,unit
1,DLIS(True),SAT,0.46143102645874023,5,0,2,782
1,DLIS(False),SAT,0.6853749752044678,33,13,14,1006
1,JW-OS,SAT,0.7236990928649902,26,9,10,967
1,DLCS,SAT,0.6645200252532959,26,9,10,996
1,HERO,SAT,0.3592357635498047,1,0,0,728
2,DLIS(True),SAT,0.44332122802734375,0,0,0,729
2,DLIS(False),SAT,0.6201682090759277,0,0,0,729
2,JW-OS,SAT,0.6351590156555176,0,0,0,729
2,DLCS,SAT,0.5975847244262695,0,0,0,729
2,HERO,SAT,0.3676269054412842,0,0,0,729
3,DLIS(True),SAT,0.5993199348449707,28,7,11,1098
3,DLIS(False),SAT,1.764634132385254,256,111,116,3696
3,JW-OS,SAT,1.299684762954712,114,44,46,2121
3,DLCS,SAT,0.8013589382171631,80,22,23,1242
3,HERO,SAT,0.5394177436828613,9,0,2,825
4,DLIS(True),SAT,0.5307040214538574,0,0,0,729
4,DLIS(False),SAT,0.6074461936950684,0,0,0,729
4,JW-OS,SAT,0.6216831207275391,0,0,0,729
4,DLCS,SAT,0.5794277191162109,0,0,0,729
4,HERO,SAT,0.36718106269836426,0,0,0,729
5,DLIS(True),SAT,0.4242689609527588,0,0,0,729
5,DLIS(False),SAT,0.5962281227111816,0,0,0,729
5,JW-OS,SAT,0.6155409812927246,0,0,0,729
5,DLCS,SAT,0.5885577201843262,0,0,0,729
5,HERO,SAT,0.3645038604736328,0,0,0,729
6,DLIS(True),SAT,0.4702110290527344,11,0,2,807
6,DLIS(False),SAT,1.1127281188964844,91,38,39,2154
6,JW-OS,SAT,1.1312601566314697,86,34,35,1955
6,DLCS,SAT,1.241929054260254,98,42,43,2341
6,HERO,SAT,0.4009530544281006,4,1,2,825
7,DLIS(True),SAT,0.4313790798187256,0,0,0,729
7,DLIS(False),SAT,0.57623291015625,0,0,0,729
7,JW-OS,SAT,0.6239640712738037,0,0,0,729
7,DLCS,SAT,0.5862400531768799,0,0,0,729
7,HERO,SAT,0.3796699047088623,0,0,0,729
8,DLIS(True),SAT,0.44033002853393555,0,0,0,729
8,DLIS(False),SAT,0.6027889251708984,0,0,0,729
8,JW-OS,SAT,0.7432079315185547,0,0,0,729
8,DLCS,SAT,0.6515238285064697,0,0,0,729
8,HERO,SAT,0.4339168071746826,0,0,0,729
9,DLIS(True),SAT,0.4687528610229492,0,0,0,729
9,DLIS(False),SAT,0.6732349395751953,0,0,0,729
9,JW-OS,SAT,0.6697089672088623,0,0,0,729
9,DLCS,SAT,0.6273419857025146,0,0,0,729
9,HERO,SAT,0.3987541198730469,0,0,0,729
10,DLIS(True),SAT,0.600261926651001,10,2,4,947
10,DLIS(False),SAT,1.8728556632995605,198,88,93,3511
10,JW-OS,SAT,0.8721911907196045,41,11,13,1117
10,DLCS,SAT,3.1236929893493652,306,140,147,5722
10,HERO,SAT,0.4528050422668457,3,0,0,726
11,DLIS(True),SAT,2.4695279598236084,147,53,72,4851
